state_name,state_abbreviation,state_FIPS,county_name,county_FIPS,county_pop_lat,county_pop_lon,wtk_gid,wtk_lat,wtk_lon,nsrdb_gid,nsrdb_lat,nsrdb_lon,bchrrr_gid,bchrrr_lat,bchrrr_lon,sup3rcc_gid,sup3rcc_lat,sup3rcc_lon
Montana,MT,30000,Pondera County,30073,48.211426,-112.158061,663211,48.22103,-112.15704,321594,48.21,-112.14,663211,48.22103,-112.15704,111020,48.20156,-112.14
Montana,MT,30000,Powder River County,30075,45.438495,-105.544775,877371,45.441936,-105.54111,470226,45.45,-105.54,877371,45.441936,-105.54111,202617,45.42028,-105.525
Montana,MT,30000,Powell County,30077,46.450646,-112.758115,623243,46.442844,-112.76071,308807,46.45,-112.74,623243,46.442844,-112.76071,168531,46.45204,-112.77
Montana,MT,30000,Prairie County,30079,46.809715,-105.276385,897067,46.813244,-105.28763,477278,46.81,-105.26,897067,46.813244,-105.28763,156898,46.810917,-105.255
Montana,MT,30000,Ravalli County,30081,46.358558,-114.111219,574481,46.350723,-114.11435,281191,46.37,-114.1,574481,46.350723,-114.11435,171451,46.362324,-114.12
Montana,MT,30000,Richland County,30083,47.72072,-104.204201,944560,47.71904,-104.19162,503937,47.73,-104.22,944560,47.71904,-104.19162,127421,47.70811,-104.22
Montana,MT,30000,Roosevelt County,30085,48.134392,-105.212282,908955,48.131542,-105.20886,478264,48.13,-105.22,908955,48.131542,-105.20886,112649,48.1567,-105.21
Montana,MT,30000,Rosebud County,30087,45.902895,-106.612675,837398,45.90985,-106.62024,444326,45.89,-106.62,837398,45.90985,-106.62024,186368,45.91373,-106.605
Montana,MT,30000,Sanders County,30089,47.635009,-115.177181,553050,47.63341,-115.177734,259423,47.65,-115.18,553050,47.63341,-115.177734,130128,47.61839,-115.155
Montana,MT,30000,Sheridan County,30091,48.734098,-104.493722,939394,48.727386,-104.49028,496696,48.73,-104.5,939394,48.727386,-104.49028,93490,48.739872,-104.49
Montana,MT,30000,Silver Bow County,30093,45.98746,-112.52552,626139,45.980473,-112.5372,313043,45.97,-112.54,626139,45.980473,-112.5372,183286,46.00345,-112.545
Montana,MT,30000,Stillwater County,30095,45.615504,-109.23794,738637,45.61772,-109.230804,386166,45.61,-109.22,738637,45.61772,-109.230804,196634,45.599716,-109.26
Montana,MT,30000,Sweet Grass County,30097,45.82939,-109.91652,716967,45.83925,-109.90784,371006,45.81,-109.9,716967,45.83925,-109.90784,189244,45.824013,-109.935
Montana,MT,30000,Teton County,30099,47.762519,-112.039518,662215,47.76134,-112.04541,324217,47.77,-112.02,662215,47.76134,-112.04541,125772,47.752968,-112.05
Montana,MT,30000,Toole County,30101,48.578096,-111.850811,677458,48.586475,-111.83954,327682,48.57,-111.86,677458,48.586475,-111.83954,99226,48.560432,-111.87
Montana,MT,30000,Treasure County,30103,46.247086,-107.247141,815133,46.24414,-107.25572,429595,46.25,-107.26,815133,46.24414,-107.25572,176029,46.227745,-107.235
Montana,MT,30000,Valley County,30105,48.23627,-106.541657,857977,48.22707,-106.54852,446157,48.25,-106.54,857977,48.22707,-106.54852,109669,48.246418,-106.56
Montana,MT,30000,Wheatland County,30107,46.454551,-109.845435,724545,46.452137,-109.84433,371875,46.45,-109.86,724545,46.452137,-109.84433,168596,46.45204,-109.845
Montana,MT,30000,Wibaux County,30109,46.969955,-104.191238,940342,46.970478,-104.18872,504988,46.97,-104.18,940342,46.970478,-104.18872,151022,46.990356,-104.175
Montana,MT,30000,Yellowstone County,30111,45.789945,-108.545962,764418,45.790268,-108.54126,401051,45.77,-108.54,764418,45.790268,-108.54126,190750,45.779152,-108.54
Nebraska,NE,31000,Adams County,31001,40.585501,-98.415176,1170208,40.58454,-98.40726,659130,40.57,-98.42,1170208,40.58454,-98.40726,362075,40.575462,-98.415
Nebraska,NE,31000,Antelope County,31003,42.147051,-98.057425,1190344,42.152706,-98.06946,669000,42.13,-98.06,1190344,42.152706,-98.06946,310458,42.14554,-98.055
Nebraska,NE,31000,Arthur County,31005,41.569369,-101.67886,1014962,41.575672,-101.680725,571348,41.57,-101.66,1014962,41.575672,-101.680725,329552,41.56237,-101.7
Nebraska,NE,31000,Banner County,31007,41.558824,-103.721644,928570,41.559387,-103.72269,516535,41.57,-103.74,928570,41.559387,-103.72269,329507,41.56237,-103.725
Nebraska,NE,31000,Blaine County,31009,41.906106,-100.013465,1093257,41.911865,-100.01099,615445,41.89,-100.02,1093257,41.911865,-100.01099,317789,41.92124,-100.035
Nebraska,NE,31000,Boone County,31011,41.677317,-98.014052,1192833,41.670486,-98.00299,670115,41.69,-98.02,1192833,41.670486,-98.00299,325209,41.696945,-98.01
Nebraska,NE,31000,Box Butte County,31013,42.136681,-102.905293,965170,42.13708,-102.91675,538557,42.13,-102.9,965170,42.13708,-102.91675,310350,42.14554,-102.915
Nebraska,NE,31000,Boyd County,31015,42.893572,-98.744948,1157816,42.90045,-98.75659,650288,42.89,-98.74,1157816,42.90045,-98.75659,285368,42.908154,-98.73
Nebraska,NE,31000,Brown County,31017,42.543087,-99.849631,1103135,42.550663,-99.852234,619774,42.53,-99.86,1103135,42.550663,-99.852234,297143,42.549274,-99.855
Nebraska,NE,31000,Buffalo County,31019,40.737755,-99.072799,1136471,40.734333,-99.07498,641596,40.73,-99.06,1136471,40.734333,-99.07498,356160,40.7549,-99.09
Nebraska,NE,31000,Burt County,31021,41.845219,-96.347845,1277022,41.837368,-96.33682,712776,41.85,-96.34,1277022,41.837368,-96.33682,320821,41.831524,-96.345
Nebraska,NE,31000,Butler County,31023,41.247435,-97.141751,1235600,41.25566,-97.14896,693850,41.25,-97.14,1235600,41.25566,-97.14896,339978,41.248356,-97.155
Nebraska,NE,31000,Cass County,31025,40.949444,-96.06362,1290768,40.946133,-96.06146,719151,40.93,-96.06,1290768,40.946133,-96.06146,350327,40.93434,-96.075
Nebraska,NE,31000,Cedar County,31027,42.576735,-97.251033,1231902,42.574524,-97.25049,690727,42.57,-97.26,1231902,42.574524,-97.25049,295726,42.594135,-97.245
Nebraska,NE,31000,Chase County,31029,40.501956,-101.625693,1012739,40.49873,-101.62906,572440,40.49,-101.62,1012739,40.49873,-101.62906,364954,40.485744,-101.61
Nebraska,NE,31000,Cherry County,31031,42.788396,-100.749297,1061275,42.794327,-100.75696,595975,42.77,-100.74,1061275,42.794327,-100.75696,289748,42.773575,-100.755
Nebraska,NE,31000,Cheyenne County,31033,41.164852,-102.982586,957796,41.16309,-102.97812,536475,41.17,-102.98,957796,41.16309,-102.97812,342798,41.158634,-103.005
Nebraska,NE,31000,Clay County,31035,40.547593,-98.027859,1189002,40.555176,-98.03961,670144,40.53,-98.02,1189002,40.555176,-98.03961,363559,40.530605,-98.01
Nebraska,NE,31000,Colfax County,31037,41.515593,-97.076385,1239381,41.516514,-97.0795,695864,41.53,-97.06,1239381,41.516514,-97.0795,331130,41.51751,-97.065
Nebraska,NE,31000,Cuming County,31039,41.896853,-96.758474,1255707,41.890965,-96.76166,703509,41.89,-96.74,1255707,41.890965,-96.76166,319337,41.876385,-96.75
Nebraska,NE,31000,Custer County,31041,41.400577,-99.673881,1108007,41.402805,-99.67941,625240,41.41,-99.66,1108007,41.402805,-99.67941,335497,41.38293,-99.675
Nebraska,NE,31000,Dakota County,31043,42.446881,-96.438631,1272039,42.450607,-96.44116,710922,42.45,-96.42,1272039,42.450607,-96.44116,300169,42.459557,-96.435
Nebraska,NE,31000,Dawes County,31045,42.786275,-103.066216,962065,42.78074,-103.06906,534331,42.77,-103.06,962065,42.78074,-103.06906,289697,42.773575,-103.05
Nebraska,NE,31000,Dawson County,31047,40.827351,-99.856811,1096877,40.819862,-99.86502,619817,40.81,-99.86,1096877,40.819862,-99.86502,353193,40.84462,-99.855
Nebraska,NE,31000,Deuel County,31049,41.090926,-102.336556,985021,41.092117,-102.32703,553351,41.09,-102.34,985021,41.092117,-102.32703,345763,41.068916,-102.33
Nebraska,NE,31000,Dixon County,31051,42.436803,-96.826019,1253228,42.42981,-96.81897,701619,42.45,-96.82,1253228,42.42981,-96.81897,301635,42.414696,-96.84
Nebraska,NE,31000,Dodge County,31053,41.471293,-96.528699,1266970,41.464878,-96.53308,708174,41.49,-96.54,1266970,41.464878,-96.53308,332617,41.47265,-96.525
Nebraska,NE,31000,Douglas County,31055,41.261734,-96.069734,1290785,41.261837,-96.06177,719143,41.25,-96.06,1290785,41.261837,-96.06177,340002,41.248356,-96.075
Nebraska,NE,31000,Dundy County,31057,40.089487,-101.599237,1012717,40.09165,-101.59161,573517,40.09,-101.58,1012717,40.09165,-101.59161,378229,40.08201,-101.61
Nebraska,NE,31000,Fillmore County,31059,40.541249,-97.58003,1212936,40.54458,-97.575134,682309,40.53,-97.58,1212936,40.54458,-97.575134,363569,40.530605,-97.56
Nebraska,NE,31000,Franklin County,31061,40.185986,-98.954525,1141421,40.18091,-98.94998,644886,40.17,-98.94,1141421,40.18091,-98.94998,375338,40.171726,-98.955
Nebraska,NE,31000,Frontier County,31063,40.609998,-100.398781,1070459,40.613464,-100.39044,605738,40.61,-100.38,1070459,40.613464,-100.39044,360556,40.620323,-100.395
Nebraska,NE,31000,Furnas County,31065,40.250811,-99.934157,1091946,40.260235,-99.92694,617657,40.25,-99.94,1091946,40.260235,-99.92694,372366,40.261448,-99.945
