county_fips,county_name,state_name,weather_source,county_pop_lat,county_pop_lon,selected_gid,grid_lat,grid_lon,distance_km
02105,Hoonah-Angoon Census Area,Alaska,wtk,58.123897,-135.427534,88915,46.695717,-129.01357,1341.701614
02105,Hoonah-Angoon Census Area,Alaska,bchrrr,58.123897,-135.427534,88915,46.695717,-129.01357,1341.701614
02105,Hoonah-Angoon Census Area,Alaska,nsrdb,58.123897,-135.427534,55015,58.13,-135.42,0.81007
02110,Juneau City and Borough,Alaska,wtk,58.360195,-134.533109,108518,46.953938,-128.55418,1329.608108
02110,Juneau City and Borough,Alaska,bchrrr,58.360195,-134.533109,108518,46.953938,-128.55418,1329.608108
02110,Juneau City and Borough,Alaska,nsrdb,58.360195,-134.533109,57125,58.37,-134.54,1.161984
02122,Kenai Peninsula Borough,Alaska,wtk,60.283966,-151.066806,79706,46.56967,-129.22923,2082.803342
02122,Kenai Peninsula Borough,Alaska,bchrrr,60.283966,-151.066806,79706,46.56967,-129.22923,2082.803342
02122,Kenai Peninsula Borough,Alaska,nsrdb,60.283966,-151.066806,40834,59.97,-151.06,34.913509
02130,Ketchikan Gateway Borough,Alaska,wtk,55.369058,-131.67859,145352,47.408962,-127.67738,927.254208
02130,Ketchikan Gateway Borough,Alaska,bchrrr,55.369058,-131.67859,145352,47.408962,-127.67738,927.254208
02130,Ketchikan Gateway Borough,Alaska,nsrdb,55.369058,-131.67859,68083,55.37,-131.66,1.179365
02150,Kodiak Island Borough,Alaska,wtk,57.774634,-152.454082,79706,46.56967,-129.22923,1997.909596
02150,Kodiak Island Borough,Alaska,bchrrr,57.774634,-152.454082,79706,46.56967,-129.22923,1997.909596
02150,Kodiak Island Borough,Alaska,nsrdb,57.774634,-152.454082,39023,57.77,-152.46,0.623428
02164,Lake and Peninsula Borough,Alaska,wtk,58.616599,-156.196458,79706,46.56967,-129.22923,2235.85638
02164,Lake and Peninsula Borough,Alaska,bchrrr,58.616599,-156.196458,79706,46.56967,-129.22923,2235.85638
02164,Lake and Peninsula Borough,Alaska,nsrdb,58.616599,-156.196458,30277,58.61,-156.18,1.20285
02170,Matanuska-Susitna Borough,Alaska,wtk,61.607225,-149.432884,79706,46.56967,-129.22923,2110.289613
02170,Matanuska-Susitna Borough,Alaska,bchrrr,61.607225,-149.432884,79706,46.56967,-129.22923,2110.289613
02170,Matanuska-Susitna Borough,Alaska,nsrdb,61.607225,-149.432884,41978,59.97,-149.42,182.052707
02180,Nome Census Area,Alaska,wtk,64.43209,-165.271059,79706,46.56967,-129.22923,2945.677535
02180,Nome Census Area,Alaska,bchrrr,64.43209,-165.271059,79706,46.56967,-129.22923,2945.677535
02180,Nome Census Area,Alaska,nsrdb,64.43209,-165.271059,11312,59.97,-165.38,496.194426
02185,North Slope Borough,Alaska,wtk,70.481329,-155.268457,79706,46.56967,-129.22923,3004.377375
02185,North Slope Borough,Alaska,bchrrr,70.481329,-155.268457,79706,46.56967,-129.22923,3004.377375
02185,North Slope Borough,Alaska,nsrdb,70.481329,-155.268457,33024,59.97,-155.26,1168.808135
02188,Northwest Arctic Borough,Alaska,wtk,66.896825,-161.593439,79706,46.56967,-129.22923,2933.981644
02188,Northwest Arctic Borough,Alaska,bchrrr,66.896825,-161.593439,79706,46.56967,-129.22923,2933.981644
02188,Northwest Arctic Borough,Alaska,nsrdb,66.896825,-161.593439,15407,59.97,-161.58,770.229147
