County_FIPS,Year,Population
42117,2081,40381
42117,2082,40381
42117,2083,40381
42117,2084,40381
42117,2085,40381
42117,2086,40381
42117,2087,40381
42117,2088,40381
42117,2089,40381
42117,2090,40381
42117,2091,40381
42117,2092,40381
42117,2093,40381
42117,2094,40381
42117,2095,40381
42117,2096,40381
42117,2097,40381
42117,2098,40381
42117,2099,40381
42119,2000,44294
42119,2001,44294
42119,2002,44294
42119,2003,44294
42119,2004,44294
42119,2005,44294
42119,2006,44294
42119,2007,44294
42119,2008,44294
42119,2009,44294
42119,2010,44294
42119,2011,44294
42119,2012,44294
42119,2013,44294
42119,2014,44294
42119,2015,44294
42119,2016,44294
42119,2017,44294
42119,2018,44294
42119,2019,44294
42119,2020,44294
42119,2021,44294
42119,2022,44294
42119,2023,44294
42119,2024,44294
42119,2025,44294
42119,2026,44294
42119,2027,44294
42119,2028,44294
42119,2029,44294
42119,2030,44294
42119,2031,44294
42119,2032,44294
42119,2033,44294
42119,2034,44294
42119,2035,44294
42119,2036,44294
42119,2037,44294
42119,2038,44294
42119,2039,44294
42119,2040,44294
42119,2041,44294
42119,2042,44294
42119,2043,44294
42119,2044,44294
42119,2045,44294
42119,2046,44294
42119,2047,44294
42119,2048,44294
42119,2049,44294
42119,2050,44294
42119,2051,44294
42119,2052,44294
42119,2053,44294
42119,2054,44294
42119,2055,44294
42119,2056,44294
42119,2057,44294
42119,2058,44294
42119,2059,44294
42119,2060,44294
42119,2061,44294
42119,2062,44294
42119,2063,44294
42119,2064,44294
42119,2065,44294
42119,2066,44294
42119,2067,44294
42119,2068,44294
42119,2069,44294
42119,2070,44294
42119,2071,44294
42119,2072,44294
42119,2073,44294
42119,2074,44294
42119,2075,44294
42119,2076,44294
42119,2077,44294
42119,2078,44294
42119,2079,44294
42119,2080,44294
42119,2081,44294
42119,2082,44294
42119,2083,44294
42119,2084,44294
42119,2085,44294
42119,2086,44294
42119,2087,44294
42119,2088,44294
42119,2089,44294
42119,2090,44294
42119,2091,44294
42119,2092,44294
42119,2093,44294
42119,2094,44294
42119,2095,44294
